carrier_element,block,n_materials,topology_id,C_e,C_xi,C_total,Q_lock,xi_norm
Tl,p,1,TRI_RING,1.4549999999999998,0.0,1.4549999999999998,0.25928931413778467,0.0
Tl,p,1,TETRA_PACK,0.255,0.0,0.255,0.25928931413778467,0.0
Tl,p,1,PENTA_FLOWER,0.645,0.0,0.645,0.25928931413778467,0.0
Tl,p,1,HEPTA_FLOWER,0.7150000000000001,0.0,0.7150000000000001,0.25928931413778467,0.0
V,d,2,BIN_DIPOLE,0.013799999999999996,0.0,0.013799999999999996,0.6105764339663898,0.0
V,d,2,TRI_RING,1.4549999999999998,0.0,1.4549999999999998,0.6105764339663898,0.0
V,d,2,TETRA_PACK,0.255,0.0,0.255,0.6105764339663898,0.0
V,d,2,PENTA_FLOWER,0.645,0.0,0.645,0.6105764339663898,0.0
V,d,2,HEPTA_FLOWER,0.7150000000000001,0.0,0.7150000000000001,0.6105764339663898,0.0
W,d,4,BIN_DIPOLE,0.018952354570637115,0.0,0.018952354570637115,0.7532856161743398,0.0
W,d,4,TRI_RING,1.0369944598337955,0.0,1.0369944598337955,0.7532856161743398,0.0
W,d,4,TETRA_PACK,0.10015235457063712,0.0,0.10015235457063712,0.7532856161743398,0.0
W,d,4,PENTA_FLOWER,0.3164681440443214,0.0,0.3164681440443214,0.7532856161743398,0.0
W,d,4,HEPTA_FLOWER,0.3812049861495845,0.0,0.3812049861495845,0.7532856161743398,0.0
Y,d,5,BIN_DIPOLE,0.033800000000000004,0.0,0.033800000000000004,0.7268438938275189,0.0
Y,d,5,TRI_RING,0.8550000000000002,0.0,0.8550000000000002,0.7268438938275189,0.0
Y,d,5,TETRA_PACK,0.05500000000000003,0.0,0.05500000000000003,0.7268438938275189,0.0
Y,d,5,PENTA_FLOWER,0.42500000000000016,0.0,0.42500000000000016,0.7268438938275189,0.0
Y,d,5,HEPTA_FLOWER,0.49500000000000005,0.0,0.49500000000000005,0.7268438938275189,0.0
Yb,f,1,BIN_DIPOLE,0.013799999999999996,0.0,0.013799999999999996,0.63676461216718,0.0
Yb,f,1,TRI_RING,1.4549999999999998,0.0,1.4549999999999998,0.63676461216718,0.0
Yb,f,1,TETRA_PACK,0.255,0.0,0.255,0.63676461216718,0.0
Yb,f,1,PENTA_FLOWER,0.645,0.0,0.645,0.63676461216718,0.0
Yb,f,1,HEPTA_FLOWER,0.7150000000000001,0.0,0.7150000000000001,0.63676461216718,0.0
Zn,d,1,BIN_DIPOLE,0.013799999999999996,0.0,0.013799999999999996,0.18471098959278587,0.0
Zn,d,1,TRI_RING,1.4549999999999998,0.0,1.4549999999999998,0.18471098959278587,0.0
Zn,d,1,TETRA_PACK,0.255,0.0,0.255,0.18471098959278587,0.0
Zn,d,1,PENTA_FLOWER,0.645,0.0,0.645,0.18471098959278587,0.0
Zn,d,1,HEPTA_FLOWER,0.7150000000000001,0.0,0.7150000000000001,0.18471098959278587,0.0
Zr,d,4,BIN_DIPOLE,0.013799999999999996,0.0,0.013799999999999996,0.4639193211976713,0.0
Zr,d,4,TRI_RING,1.4549999999999998,0.0,1.4549999999999998,0.4639193211976713,0.0
Zr,d,4,TETRA_PACK,0.255,0.0,0.255,0.4639193211976713,0.0
Zr,d,4,PENTA_FLOWER,0.645,0.0,0.645,0.4639193211976713,0.0
Zr,d,4,HEPTA_FLOWER,0.7150000000000001,0.0,0.7150000000000001,0.4639193211976713,0.0
